Reference,Formula,Form,Dimension,Phase,pH,Synthesis method,MagpieData mean NsValence,MagpieData range MeltingT,MagpieData mode NdValence,MagpieData avg_dev NsValence,MagpieData minimum Number,MagpieData mean MendeleevNumber,MagpieData maximum GSvolume_pa,MagpieData maximum MeltingT,MagpieData mean Number,MagpieData range Electronegativity,MagpieData maximum Number,MagpieData avg_dev Number,MagpieData range CovalentRadius,MagpieData mode Number,MagpieData mean NsUnfilled,MagpieData minimum Electronegativity,onset_potential,tafel_slope
10.1021/acsaem.3c03227,Co15Cu15Fe15Mn15Mo23Ni15,flakes,3D,"FCC,BCC",14.0, mechanical alloying ,1.6153846153846154,1538.23,5.0,0.4733727810650887,25.0,56.15384615384615,15.69,2896.0,30.46153846153846,0.6100000000000001,42.0,5.325443786982248,30.0,42.0,0.3846153846153846,1.55,385.0,147.0
10.1021/acsanm.2c02003,Co22Fe17Mg13Ni30Pt18,Nanoparticle,0D,FCC,0.0,shear-assisted liquid metal surface reduction strategy,1.825,1118.4,8.0,0.28875,12.0,60.569,22.89,2041.4,34.143,0.9699999999999998,78.0,15.34995,17.0,28.0,0.175,1.31,14.4,43.0
10.1021/acsanm.2c02003,Co22Fe17Ni30Pt18W13,Nanoparticle,0D,FCC,0.0,shear-assisted liquid metal surface reduction strategy,1.825,1967.0,8.0,0.28875,26.0,58.393,16.05,3695.0,42.07899999999999,0.5299999999999998,78.0,20.744126,38.0,28.0,0.175,1.83,16.2,46.0
10.1021/acsanm.2c02003,Co22Cr13Fe17Ni30Pt18,Nanoparticle,0D,FCC,0.0,shear-assisted liquid metal surface reduction strategy,1.697,452.0,8.0,0.4223819999999999,24.0,58.137,15.02,2180.0,35.678999999999995,0.6199999999999999,78.0,14.812349999999997,15.0,28.0,0.303,1.66,20.1,59.0
10.1021/acsnano.3c07703,Co13Ir23Ni37Pt10Ru17,Nanoparticle,0D,FCC,0.0,high-temperature liquid shock ,1.733,1011.0,8.0,0.391422,27.0,59.733,15.02,2739.0,46.956,0.3999999999999999,78.0,20.209304000000003,22.0,28.0,0.267,1.88,18.0,34.2
10.1021/acsnano.3c09482,Co2Cu48Mo10Ni37W3,Nanoparticle,0D,FCC,14.0,solvothermal then annealed in  tube furnace  ,1.42,2337.23,10.0,0.4871999999999999,27.0,60.98,16.05,3695.0,31.24,0.48,74.0,4.717599999999999,38.0,29.0,0.58,1.88,22.0,86.3
10.1021/acssuschemeng.2c06888,Co20Fe11Mo19Ni38W12,Nanoparticle,0D,"FCC,rhombohedral ",0.0,mechanical alloying (MA),1.8112811281128112,1967.0,8.0,0.3062081185616311,26.0,56.462046204620464,16.05,3695.0,35.741974197419744,0.5299999999999998,74.0,11.544859616474698,38.0,28.0,0.1887188718871887,1.83,81.0,31.0
10.1021/acssuschemeng.2c06888,Co16Fe13Mo28Ni34W10,Nanoparticle,0D,"FCC,rhombohedral ",0.0,mechanical alloying (MA),1.71977197719772,1967.0,8.0,0.4034005560772097,26.0,55.70937093709372,16.05,3695.0,35.96309630963096,0.5299999999999998,74.0,10.74810019255751,38.0,28.0,0.2802280228022802,1.83,214.0,52.0
10.1021/acssuschemeng.2c06888,Co36Fe12Mo9Ni30W13,Nanoparticle,0D,"FCC,rhombohedral ",0.0,mechanical alloying (MA),1.9088,1967.0,7.0,0.1657651199999999,26.0,56.8954,16.05,3695.0,34.592200000000005,0.5299999999999998,74.0,11.494750440000002,38.0,27.0,0.0911999999999999,1.83,232.0,80.0
10.1021/acssuschemeng.2c06888,Co25Fe19Mo18Ni24W14,Nanoparticle,0D,"FCC,rhombohedral ",0.0,mechanical alloying (MA),1.815881588158816,1967.0,7.0,0.3004376445245284,26.0,55.6934693469347,16.05,3695.0,36.48994899489949,0.5299999999999998,74.0,12.682923557882342,38.0,27.0,0.1841184118411841,1.83,308.0,47.0
10.1021/acssuschemeng.2c06888,Co20Fe11Mo19Ni38W12,Nanoparticle,0D,"FCC,rhombohedral ",14.0,mechanical alloying (MA),1.8112811281128112,1967.0,8.0,0.3062081185616311,26.0,56.462046204620464,16.05,3695.0,35.741974197419744,0.5299999999999998,74.0,11.544859616474698,38.0,28.0,0.1887188718871887,1.83,35.0,31.0
10.1021/acssuschemeng.2c06888,Co16Fe13Mo28Ni34W10,Nanoparticle,0D,"FCC,rhombohedral ",14.0,mechanical alloying (MA),1.71977197719772,1967.0,8.0,0.4034005560772097,26.0,55.70937093709372,16.05,3695.0,35.96309630963096,0.5299999999999998,74.0,10.74810019255751,38.0,28.0,0.2802280228022802,1.83,181.0,65.0
10.1021/acssuschemeng.2c06888,Co36Fe12Mo9Ni30W13,Nanoparticle,0D,"FCC,rhombohedral ",14.0,mechanical alloying (MA),1.9088,1967.0,7.0,0.1657651199999999,26.0,56.8954,16.05,3695.0,34.592200000000005,0.5299999999999998,74.0,11.494750440000002,38.0,27.0,0.0911999999999999,1.83,250.0,65.0
10.1021/acssuschemeng.2c06888,Co25Fe19Mo18Ni24W14,Nanoparticle,0D,"FCC,rhombohedral ",14.0,mechanical alloying (MA),1.815881588158816,1967.0,7.0,0.3004376445245284,26.0,55.6934693469347,16.05,3695.0,36.48994899489949,0.5299999999999998,74.0,12.682923557882342,38.0,27.0,0.1841184118411841,1.83,269.0,72.0
10.1021/jacs.1c07643,Co26Fe25Ni27Pt15Rh8,Nanoparticle,0D,FCC,0.0,under argon-filled conditions annealing,1.773,509.0,8.0,0.3509419999999998,26.0,58.868,15.02,2237.0,36.017999999999994,0.4499999999999997,78.0,13.911827999999996,18.0,28.0,0.2269999999999999,1.83,27.0,30.1
10.1038/s41467-020-15934-1,Co17Fe18Ir21Pd21Pt22,Nanoparticle,0D,FCC,14.0,Fast moving bed pyrolysis,1.3535353535353536,971.0,9.0,0.7313539434751557,26.0,59.83838383838384,15.02,2739.0,52.78787878787879,0.4499999999999997,78.0,21.47719620446893,15.0,78.0,0.2222222222222222,1.83,42.0,82.0
10.1038/s41467-020-15934-1,Co17Fe18Ir21Pd21Pt22,Nanoparticle,0D,FCC,14.0,Fast moving bed pyrolysis,1.3535353535353536,971.0,9.0,0.7313539434751557,26.0,59.83838383838384,15.02,2739.0,52.78787878787879,0.4499999999999997,78.0,21.47719620446893,15.0,78.0,0.2222222222222222,1.83,42.0,82.0
10.1038/s41467-020-19277-9,Co14Cu27Fe15Ni26Pt18,Nanoparticle,0D,FCC,14.0,one-pot polyol process,1.55,683.6300000000001,10.0,0.495,26.0,60.85,15.02,2041.4,36.83,0.4499999999999997,78.0,14.8212,12.0,29.0,0.45,1.83,11.0,30.0
10.1038/s41467-022-30379-4,Co22Fe23Mn14Ni22Ru19,Nanoparticle,0D,FCC,14.0, electrospinning technology and graphitization process.,1.81,1088.0,6.0,0.3077999999999999,25.0,56.75,13.51,2607.0,29.94,0.6500000000000001,44.0,5.3428,22.0,26.0,0.19,1.55,5.0,67.4
10.1038/s41467-022-30379-4,Co25Fe25Ni25Ru25,Nanoparticle,0D,FCC,14.0, electrospinning technology and graphitization process.,1.75,879.0,6.0,0.375,26.0,57.5,13.51,2607.0,31.25,0.3700000000000001,44.0,6.375,22.0,26.0,0.25,1.83,8.0,120.9
10.1016/j.jallcom.2024.175356,Co33Fe33Ni33,Nanoparticle,0D,FCC,14.0, electrospinning technology and graphitization process.,2.0,83.0,6.0,0.0,26.0,58.0,10.73,1811.0,27.0,0.0799999999999998,28.0,0.6666666666666666,8.0,26.0,0.0,1.83,149.0,180.9
10.1016/j.jcis.2023.05.074,Co25Fe25Mn25Ni25,Nanoparticle,0D,FCC,14.0, electrospinning technology and graphitization process.,2.0,292.0,5.0,0.0,25.0,56.5,10.73,1811.0,26.5,0.3599999999999999,28.0,1.0,15.0,25.0,0.0,1.55,162.0,162.3
10.1038/s41467-023-44261-4,Co22Cu19Fe20Ni20Pt19,Nanoparticle,0D,FCC,0.0,solvothermal reaction,1.624,683.6300000000001,7.0,0.469248,26.0,60.077,15.02,2041.4,36.967,0.4499999999999997,78.0,15.428408,12.0,27.0,0.376,1.83,10.8,28.1
10.1038/s41467-023-44261-4,Co20Cu20Fe20Ni20Pt20,Nanoparticle,0D,FCC,0.0,solvothermal reaction,1.6,683.6300000000001,6.0,0.48,26.0,60.2,15.02,2041.4,37.6,0.4499999999999997,78.0,16.160000000000004,12.0,26.0,0.4,1.83,15.3,35.3
10.1039/C9TA00505F,Al17Au17Cu17Ni17Pd17Pt16,nanoporous structure,3D,FCC,13.0,"induction-melting furnace under Ar protection, followed by spinning to prepare the alloy ribbons",1.1708,1107.93,8.0,0.5582174400000001,13.0,64.83290000000001,16.7,2041.4,45.24090000000001,0.93,79.0,22.111998080000006,18.0,28.0,0.4976,1.61,72.8,47.0
10.1039/C9TA00505F,Al17Au17Cu17Ni17Pd17Pt16,nanoporous structure,3D,FCC,0.0,"induction-melting furnace under Ar protection, followed by spinning to prepare the alloy ribbons",1.1708,1107.93,8.0,0.5582174400000001,13.0,64.83290000000001,16.7,2041.4,45.24090000000001,0.93,79.0,22.111998080000006,18.0,28.0,0.4976,1.61,15.8,28.0
10.1039/d0ta10574k,Co20Cu17Fe21Ni22Pd19,Nanoparticle,0D,BCC,14.0, low-temperature oil phase strategy,1.4444444444444444,470.28,8.0,0.7070707070707071,26.0,59.82828282828283,14.41,1828.05,31.0,0.3700000000000001,46.0,5.757575757575758,15.0,28.0,0.1717171717171717,1.83,18.0,39.0
10.1039/D1SC01981C,Ag6Al22Au6Co6Cu6Fe6Ir6Mo6Ni6Pd6Pt6Rh6Ru6,nanoporous structure,3D,FCC,0.0,melt spinning,1.415,1962.53,0.0,0.5615999999999999,13.0,62.795,16.7,2896.0,39.78,0.93,79.0,18.168800000000005,33.0,13.0,0.455,1.61,36.0,35.1
10.1039/D1SC01981C,Ag7Al23Au7Co7Cu7Fe7Ir7Ni7Pd7Pt7Rh7Ru7,nanoporous structure,3D,FCC,0.0,melt spinning,1.44,1805.53,0.0,0.5711999999999999,13.0,63.62,16.7,2739.0,39.81,0.93,79.0,19.2262,25.0,13.0,0.42,1.61,42.0,38.3
10.1039/D3EE01929B,Mo6Ni5Pd23Pt23Rh43,nanocrystals(flower-like structure is assembled by nanosheets),3D,FCC,14.0,solvothermal method,0.82,1168.0,8.0,0.3772,28.0,60.17,15.69,2896.0,51.79,0.3699999999999999,78.0,12.0566,30.0,45.0,0.72,1.91,9.7,25.9
10.1039/D3EE01929B,Mo6Ni10Pd33Pt33Rh18,nanocrystals(flower-like structure is assembled by nanosheets),3D,FCC,14.0,solvothermal method,0.77,1168.0,9.0,0.5082,28.0,60.97,15.69,2896.0,54.34,0.3699999999999999,78.0,15.615600000000002,30.0,46.0,0.57,1.91,15.9,30.3
10.1039/D3EE01929B,Mo6Ni14Pd27Pt27Rh26,nanocrystals(flower-like structure is assembled by nanosheets),3D,FCC,14.0,solvothermal method,0.875,1168.0,9.0,0.4711538461538461,28.0,60.65384615384615,15.69,2896.0,51.52884615384615,0.3699999999999999,78.0,14.253698224852071,30.0,46.0,0.5865384615384616,1.91,20.1,30.5
10.1039/D3EE01929B,Mo6Ni40Pd24Pt18Rh12,nanocrystals(flower-like structure is assembled by nanosheets),3D,FCC,14.0,solvothermal method,1.16,1168.0,8.0,0.6719999999999999,28.0,60.7,15.69,2896.0,44.2,0.3699999999999999,78.0,13.224,30.0,28.0,0.36,1.91,22.2,26.9
10.1039/D4TA02556C,Ir23Pd19Pt17Rh20Ru21,cubic nanocage structure,3D,FCC,0.0, seed-mediated conformal growth,1.04,910.95,7.0,0.4416,44.0,59.85,15.02,2739.0,57.95,0.0799999999999996,78.0,15.58,10.0,77.0,0.58,2.2,20.0,22.5
10.14102/j.cnki.0254-5861.2022-0125,Co11Cu20Ni15Pt32Rh22,Nanoparticle,0D,FCC,14.0,microwave method,1.26,879.23,9.0,0.3848,27.0,61.47,15.02,2237.0,47.83,0.3999999999999999,78.0,19.3088,18.0,78.0,0.74,1.88,19.0,26.9
10.1021/acsmaterialslett.0c00434,Al20Co20Mo20Ni20Ru20,nanowires,1D,FCC,14.0,melt spinning,1.6,1962.53,0.0,0.48,13.0,59.6,16.48,2896.0,30.8,0.5900000000000001,44.0,9.76,33.0,13.0,0.4,1.61,24.5,30.3
10.1021/acsmaterialslett.0c00434,Al20Co20Cu20Ni20Ru20,nanowires,1D,FCC,14.0,melt spinning,1.6,1673.53,0.0,0.48,13.0,62.4,16.48,2607.0,28.2,0.5900000000000001,44.0,6.640000000000001,25.0,13.0,0.4,1.61,30.0,37.1
10.1021/acsmaterialslett.0c00434,Al20Co20Fe20Ni20Ru20,nanowires,1D,FCC,14.0,melt spinning,1.8,1673.53,0.0,0.3199999999999999,13.0,60.6,16.48,2607.0,27.6,0.5900000000000001,44.0,6.720000000000001,25.0,13.0,0.2,1.61,45.5,48.9
10.1021/acsmaterialslett.0c00434,Al25Co25Ni25Ru25,nanowires,1D,FCC,14.0,melt spinning,1.75,1673.53,0.0,0.375,13.0,62.0,16.48,2607.0,28.0,0.5900000000000001,44.0,8.0,25.0,13.0,0.25,1.61,25.8,35.5
10.1021/acsmaterialslett.0c00434,Al33Ni33Ru33,nanowires,1D,FCC,14.0,melt spinning,1.6666666666666667,1673.53,0.0,0.4444444444444444,13.0,63.333333333333336,16.48,2607.0,28.33333333333333,0.5900000000000001,44.0,10.444444444444445,25.0,13.0,0.3333333333333333,1.61,25.2,31.4
10.1016/j.apcatb.2022.121472,Co26Cu25Fe22Ni21Pd7,thin films,2D,FCC,14.0,magnetron sputtering,1.6150000000000002,470.28,7.0,0.52591,26.0,59.754000000000005,14.41,1828.05,28.786000000000005,0.3700000000000001,46.0,2.447676000000002,15.0,27.0,0.249,1.83,29.7,47.2
10.1016/j.apcatb.2022.121472,Co25Cu23Fe24Ni28,thin films,2D,FCC,14.0,magnetron sputtering,1.7720000000000002,453.23,8.0,0.3520319999999998,26.0,59.503,11.07,1811.0,27.501000000000005,0.0799999999999998,29.0,0.96498,8.0,28.0,0.228,1.83,116.7,126.2
10.1016/j.apcatb.2022.121472,Co33Fe29Ni31Pd7,thin films,2D,FCC,14.0,magnetron sputtering,1.856,100.04999999999995,7.0,0.2672640000000001,26.0,58.354,14.41,1828.05,28.39,0.3700000000000001,46.0,2.5358400000000008,15.0,27.0,0.0,1.83,67.2,112.6
10.1016/j.apcatb.2022.121472,Co32Cu35Fe28Pd6,thin films,2D,FCC,14.0,magnetron sputtering,1.531,470.28,10.0,0.555296,26.0,59.495,14.41,1828.05,28.576,0.3700000000000001,46.0,2.419984,13.0,29.0,0.347,1.83,63.1,107.5
10.1016/j.apcatb.2022.121472,Co34Cu28Ni30Pd8,thin films,2D,FCC,14.0,magnetron sputtering,1.5570000000000002,470.28,7.0,0.5643819999999999,27.0,60.906000000000006,14.41,1828.05,29.382,0.3200000000000003,46.0,2.658879999999998,15.0,27.0,0.283,1.88,60.3,116.3
10.1002/sstr.202300042,Co7Cu7Fe7Ni80,nanoporous,3D,FCC,7.0,melt-spinning into alloy ribbons,1.934065934065934,453.23,8.0,0.1231735297669363,26.0,60.604395604395606,11.07,1811.0,27.86813186813187,0.0799999999999998,29.0,0.3608259871996132,8.0,28.0,0.0659340659340659,1.83,73.5,150.0
10.1002/sstr.202300042,Co7Fe7Ni87,nanoporous,3D,FCC,7.0,melt-spinning into alloy ribbons,2.0,83.0,8.0,0.0,26.0,60.40659340659341,10.73,1811.0,27.802197802197803,0.0799999999999998,28.0,0.343436782997222,8.0,28.0,0.0,1.83,95.1,154.0
10.1002/sstr.202300042,Fe7Ni93,nanoporous,3D,FCC,7.0,melt-spinning into alloy ribbons,2.0,83.0,8.0,0.0,26.0,60.604395604395606,10.73,1811.0,27.86813186813187,0.0799999999999998,28.0,0.2463470595338723,8.0,28.0,0.0,1.83,127.5,155.0
10.1002/adfm.202418644,Co8Mn13Ni43Pd21Pt15,Nanoparticle,0D,FCC,14.0,electrodeposition,1.4294429442944296,522.4000000000001,8.0,0.7317555437912028,25.0,60.093409340934095,15.02,2041.4,38.6877687768777,0.7299999999999998,78.0,14.648859565424493,15.0,28.0,0.1469146914691469,1.55,30.2,104.0
10.1002/adfm.202418644,Co14Mn15Ni14Pd41Pt15,Nanoparticle,0D,FCC,14.0,electrodeposition,1.0259,522.4000000000001,10.0,0.8488307399999999,25.0,59.9515,15.02,2041.4,42.5123,0.7299999999999998,78.0,13.82421822,15.0,46.0,0.1545,1.55,23.9,77.7
10.1002/adfm.202418644,Co3Mn18Ni41Pd24Pt15,Nanoparticle,0D,FCC,14.0,electrodeposition,1.38003800380038,522.4000000000001,8.0,0.7648616046723183,25.0,59.82588258825883,15.02,2041.4,39.01070107010701,0.7299999999999998,78.0,14.719872827366745,15.0,28.0,0.1463146314631463,1.55,29.0,84.1
10.1002/adfm.202418644,Co13Mn21Ni47Pd10Pt9,Nanoparticle,0D,FCC,14.0,electrodeposition,1.7084,522.4000000000001,8.0,0.4721587199999999,25.0,58.9837,15.02,2041.4,33.5163,0.7299999999999998,78.0,10.462592960000002,15.0,28.0,0.0892,1.55,38.0,84.3
10.1002/adfm.202418644,Co6Mn17Ni63Pd5Pt10,Nanoparticle,0D,FCC,14.0,electrodeposition,1.7968000000000002,522.4000000000001,8.0,0.3445865599999999,25.0,59.5863,15.02,2041.4,33.4142,0.7299999999999998,78.0,10.292600360000002,15.0,28.0,0.1009999999999999,1.55,35.2,84.3
10.1002/adfm.202418644,Co14Mn23Ni31Pd25Pt6,Nanoparticle,0D,FCC,14.0,electrodeposition,1.43409,522.4000000000001,8.0,0.7756136096,25.0,58.87825999999999,15.02,2041.4,34.86459,0.7299999999999998,78.0,11.0749924704,15.0,28.0,0.06353,1.55,84.7,112.0
10.1002/adfm.202418644,Co24Mn16Ni21Pd29Pt10,Nanoparticle,0D,FCC,14.0,electrodeposition,1.3226367736322635,522.4000000000001,10.0,0.8275534726477917,25.0,59.3139868601314,15.02,2041.4,37.50818491815082,0.7299999999999998,78.0,13.067119170709873,15.0,46.0,0.1009089909100908,1.55,22.6,75.1
10.1002/adfm.202418644,Co14Mn15Ni14Pd41Pt15,Nanoparticle,0D,FCC,14.0,electrodeposition,1.02589,522.4000000000001,10.0,0.8488199718000001,25.0,59.95119,15.02,2041.4,42.51269,0.7299999999999998,78.0,13.8244878122,15.0,46.0,0.15451,1.55,23.9,77.7
10.1002/adfm.202418644,Co16Mn23Ni29Pd23Pt9,Nanoparticle,0D,FCC,14.0,electrodeposition,1.453457631835258,522.4000000000001,8.0,0.7435774698643172,25.0,58.89439265340197,15.02,2041.4,35.89021844997913,0.7299999999999998,78.0,12.413601781535538,15.0,28.0,0.0929455962153888,1.55,82.7,126.0
10.1002/adfm.202418644,Co27Mn30Ni21Pt22,Nanoparticle,0D,FCC,14.0,electrodeposition,1.7769107643057225,522.4000000000001,5.0,0.3466408572232414,25.0,57.94947979191677,15.02,2041.4,37.98889555822328,0.7299999999999998,78.0,17.85209341839977,15.0,25.0,0.2230892356942777,1.55,68.6,79.6
10.1002/adfm.202418644,Co47Mn14Ni12Pd27,Nanoparticle,0D,FCC,14.0,electrodeposition,1.4566,309.04999999999995,7.0,0.7915164400000001,25.0,58.630500000000005,14.41,1828.05,32.010200000000005,0.6500000000000001,46.0,7.602057320000004,15.0,27.0,0.0,1.55,73.0,84.5
10.1002/adfm.202418644,Co54Mn22Ni24,Nanoparticle,0D,FCC,14.0,electrodeposition,2.0,249.0,7.0,0.0,25.0,57.40690000000001,10.4875862069,1768.0,26.8023,0.3599999999999999,28.0,0.7958956800000005,15.0,27.0,0.0,1.55,156.0,85.3
10.1002/adfm.202418644,Co24Mn16Ni21Pd29Pt10,Nanoparticle,0D,FCC,14.0,electrodeposition,1.3226999999999998,522.4000000000001,10.0,0.8275251400000002,25.0,59.31409999999999,15.02,2041.4,37.5073,0.7299999999999998,78.0,13.066619139999998,15.0,46.0,0.1009,1.55,22.6,75.1
10.1016/j.mtcomm.2025.112365,Co20Fe20Mn20Ni20Zn20,Nanoparticle,0D,FCC,14.0,Fast moving bed heating,2.0,1118.3200000000002,5.0,0.0,25.0,59.0,13.96,1811.0,27.2,0.3599999999999999,30.0,1.44,17.0,25.0,0.0,1.55,184.0,112.0
10.1016/j.jcis.2023.05.074,Co20Cu20Fe20Mn20Ni20,Nanoparticle,0D,FCC,14.0,polymer fiber nanoreactor strategy,1.8,453.23,5.0,0.3199999999999999,25.0,58.0,11.07,1811.0,27.0,0.3599999999999999,29.0,1.2,15.0,25.0,0.2,1.55,230.0,53.0
10.1039/D3TA05908A ,Ir20Pd16Pt9Rh26Ru29,nanosheet,2D,FCC,0.0, atomic layer deposition,1.04,910.95,7.0,0.38976,44.0,59.17500000000001,15.02,2739.0,54.21000000000001,0.0799999999999996,78.0,13.344620000000004,10.0,44.0,0.634,2.2,13.0,14.0
10.1039/D3TA05908A ,Ir20Pd16Pt9Rh26Ru29,nanosheet,2D,FCC,7.0, atomic layer deposition,1.04,910.95,7.0,0.38976,44.0,59.17500000000001,15.02,2739.0,54.21000000000001,0.0799999999999996,78.0,13.344620000000004,10.0,44.0,0.634,2.2,77.0,45.0
10.1039/D3TA05908A ,Ir20Pd16Pt9Rh26Ru29,nanosheet,2D,FCC,14.0, atomic layer deposition,1.04,910.95,7.0,0.38976,44.0,59.17500000000001,15.02,2739.0,54.21000000000001,0.0799999999999996,78.0,13.344620000000004,10.0,44.0,0.634,2.2,65.0,78.0
10.1039/D3TA05908A ,Ir25Pd25Rh25Ru25,nanosheet,2D,FCC,0.0, atomic layer deposition,1.0,910.95,7.0,0.5,44.0,59.25,14.41,2739.0,53.0,0.0799999999999996,77.0,12.0,7.0,44.0,0.5,2.2,20.0,25.0
10.1039/D3TA05908A ,Pd25Pt25Rh25Ru25,nanosheet,2D,FCC,0.0, atomic layer deposition,0.75,778.95,7.0,0.375,44.0,60.0,15.02,2607.0,53.25,0.0799999999999996,78.0,12.375,10.0,44.0,0.75,2.2,16.0,19.0
10.1002/advs.202300094,Co32Fe23Ni34Ru11,Nanoparticle,0D,FCC,14.0, Metal-organic frameworks (MOFs) template method,1.892,879.0,8.0,0.1926719999999998,26.0,58.132,13.51,2607.0,28.952,0.3700000000000001,44.0,3.2503679999999986,22.0,28.0,0.108,1.83,40.0,84.0
10.1002/adma.202207466,Co21Cr17Fe20Mn22Ni20,sheet,3D,FCC,0.0,arc melting,1.8258258258258255,661.0,5.0,0.2876750624498372,24.0,55.12312312312312,11.19,2180.0,26.04104104104104,0.3599999999999999,28.0,1.1836942047152257,15.0,25.0,0.1741741741741741,1.55,248.0,95.0
10.1039/D1TA02621F,Co19Cu18Fe8Mn36Ni19,Nanoparticle,3D,FCC,7.0,high energy planetary milling,1.816890134080448,453.23,5.0,0.299161285844951,25.0,57.293376025615366,11.07,1811.0,26.764458675205127,0.3599999999999999,29.0,1.3794604559413652,15.0,25.0,0.1831098659195517,1.55,160.0,77.5
10.1039/D1TA02621F,Co19Cu18Fe8Mn36Ni19,Nanoparticle,3D,FCC,14.0,high energy planetary milling,1.816890134080448,453.23,5.0,0.299161285844951,25.0,57.293376025615366,11.07,1811.0,26.764458675205127,0.3599999999999999,29.0,1.3794604559413652,15.0,25.0,0.1831098659195517,1.55,110.0,48.3
10.1039/D1TA02621F,Co19Cu18Fe8Mn36Ni19,Nanoparticle,3D,FCC,0.0,high energy planetary milling,1.816890134080448,453.23,5.0,0.299161285844951,25.0,57.293376025615366,11.07,1811.0,26.764458675205127,0.3599999999999999,29.0,1.3794604559413652,15.0,25.0,0.1831098659195517,1.55,70.0,70.9
10.1016/j.cej.2021.132883,Co22Cu18Mg19Ni22Zn18,Nanoparticle,0D,FCC,14.0,anchoring by reflux,1.8156441717791412,1075.3200000000002,7.0,0.30073751364372,12.0,63.6828220858896,22.89,1768.0,25.214417177914115,0.5999999999999999,30.0,5.131733787496705,19.0,27.0,0.1843558282208589,1.31,158.0,36.1
10.1016/j.cej.2021.132883,Co23Cu18Mg19Ni23Zn18,Nanoparticle,0D,FCC,14.0,anchoring by reflux,1.8195718654434248,1075.3200000000002,8.0,0.2957476456340188,12.0,63.60958205912335,22.89,1768.0,25.266564729867486,0.5999999999999999,30.0,5.044269769868063,19.0,28.0,0.1804281345565749,1.31,172.0,39.2
10.1016/j.cej.2021.132883,Co22Cu18Mg19Ni23Zn18,Nanoparticle,0D,FCC,14.0,anchoring by reflux,1.8231935420358336,1075.3200000000002,8.0,0.2910918687726633,12.0,63.62295727505413,22.89,1768.0,25.341405788541053,0.5999999999999999,30.0,4.964610541512616,19.0,28.0,0.1768064579641661,1.31,189.0,42.6
10.1016/j.cej.2021.132883,Co22Cu17Mg20Ni22Zn18,Nanoparticle,0D,FCC,14.0,anchoring by reflux,1.8253136633117333,1075.3200000000002,8.0,0.2883420409254006,12.0,63.68826692403144,22.89,1768.0,25.18254515372949,0.5999999999999999,30.0,5.165420284971627,19.0,28.0,0.1746863366882669,1.31,120.0,44.7
10.1016/j.cej.2021.132883,Co22Cu18Mg19Ni22Zn18,Nanoparticle,0D,FCC,0.0,anchoring by reflux,1.8156441717791412,1075.3200000000002,7.0,0.30073751364372,12.0,63.6828220858896,22.89,1768.0,25.214417177914115,0.5999999999999999,30.0,5.131733787496705,19.0,27.0,0.1843558282208589,1.31,131.0,32.6
10.1002/asia.202300456,Co20Cr20Fe20Mo20Ni20,Nanoparticle,3D,"FCC,BCC",14.0,gas atomization powder preparation process,1.6,1168.0,5.0,0.48,24.0,54.6,15.69,2896.0,29.4,0.5000000000000002,42.0,5.039999999999999,30.0,24.0,0.4,1.66,156.7,46.09
10.1002/asia.202300456,Co25Cr25Fe25Ni25,Nanoparticle,3D,"FCC,BCC",14.0,gas atomization powder preparation process,1.75,452.0,5.0,0.375,24.0,55.75,11.19,2180.0,26.25,0.25,28.0,1.25,15.0,24.0,0.25,1.66,160.5,65.72
10.1016/j.apcatb.2022.122016,Co22Cu20Fe16Mo20Ni22,dendritic structure,3D,FCC,14.0,pulse electroplating,1.5929999999999995,1538.23,8.0,0.482702,26.0,57.74,15.69,2896.0,30.535,0.33,42.0,4.70065,30.0,28.0,0.407,1.83,7.0,19.4
10.1016/j.apcatb.2022.122016,Co27Cu21Mo24Ni28,dendritic structure,3D,FCC,14.0,pulse electroplating,1.5460852329038652,1538.23,8.0,0.4957523026163929,27.0,58.1655104063429,15.69,2896.0,31.344895936570857,0.2800000000000002,42.0,5.174431111080549,30.0,28.0,0.4539147670961347,1.88,6.0,18.5
10.1016/j.apcatb.2022.122016,Co24Cu23Fe31Ni22,dendritic structure,3D,FCC,14.0,pulse electroplating,1.7720000000000002,453.23,6.0,0.3520319999999999,26.0,59.11,11.07,1811.0,27.37,0.0799999999999998,29.0,1.0267800000000002,8.0,26.0,0.228,1.83,58.0,95.5
10.1016/j.apcatb.2022.122016,Co26Fe20Mo26Ni28,dendritic structure,3D,FCC,14.0,pulse electroplating,1.736,1168.0,8.0,0.3886079999999999,26.0,56.107,15.69,2896.0,31.033,0.33,42.0,5.790576,30.0,28.0,0.264,1.83,38.0,56.4
10.1016/j.apcatb.2022.122016,Cu24Fe23Mo24Ni28,dendritic structure,3D,FCC,14.0,pulse electroplating,1.511,1538.23,8.0,0.4997579999999999,26.0,57.66299999999999,15.69,2896.0,31.216,0.33,42.0,5.284159999999999,30.0,28.0,0.489,1.83,21.0,53.5
10.1016/j.apcatb.2022.122016,Co29Cu26Fe19Mo26,dendritic structure,3D,FCC,14.0,pulse electroplating,1.479,1538.23,7.0,0.4991179999999999,26.0,56.87899999999999,15.69,2896.0,31.254999999999995,0.33,42.0,5.630379999999997,28.0,27.0,0.5209999999999999,1.83,20.0,52.3
